round,average_score,average_distance,num_closer_than_average,winner,score,distance,lat,lng,description,silver,silver_score,silver_distance,silver_lat,silver_lng,silver_description,bronze,bronze_score,bronze_distance,bronze_lat,bronze_lng,bronze_description,loser,loser_score,loser_distance,loser_lat,loser_lng,loser_description
McBride,6403.7248074807485,4414697.178752393,516,Canada,12991.97,32154.55223617663,53.589055282750095,-120.1798139141091,"53.589055, -120.179814",maplemanatee,11978.29,64869.134623411104,52.953624,-119.386935,,ymot,10972.29,66833.39598698012,52.99801,-119.302758,,Lesotho,939.43,16254469.328106618,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Dawson Creek,6393.845247524752,4454245.005383949,518,Canada,12997.09,11653.736948216134,55.6607299997501,-120.1798139141091,"55.66073, -120.179814",Yelldosh,11966.9,110458.01624623143,55.176915,-118.821266,,favoritepie,10945.2,175295.43389104193,55.15374,-122.807076,,Lesotho,977.57,16101798.697281996,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Fort St. John,6388.98105610561,4473716.66195158,518,Canada,12986.52,53948.08234939933,56.69656735825011,-121.19576767439645,"56.696567, -121.195768",favoritepie,11951.34,172754.67893771522,55.15374,-122.807076,,Yelldosh,10945.41,174428.98824924463,55.176915,-118.821266,,Lesotho,978.18,16099358.089788191,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Oxnard,6328.209119911991,4717011.391282997,544,steph,12999.9,404.41924045814255,34.198901,-119.181108,,Hamfrags,11991.96,10160.164679099431,34.159427,-119.076647,,Aiden,10986.29,10797.995914032475,34.2706,-119.254372,,Mauritius,671.47,17327151.462244313,-10.337082,56.58791700000012,Northmost point 1
Bakersfield,6338.993751375137,4673816.921444385,543,Loading...,12998.44,6254.706905590549,35.426455,-119.041249,,Radians,11990.76,14931.077601560535,35.35422,-119.1817,,Redoct878,10982.6,25556.040126971908,35.294738,-118.753949,,Mauritius,704.25,17195911.616582815,-10.337082,56.58791700000012,Northmost point 1
Visalia,6343.860253025303,4654336.18792825,541,trombonian,12998.53,5894.371529780812,36.2792,-119.309867,,gurf,11992.23,9053.301341585633,36.33292,-119.39307,,proletariat_gang,10986.5,9969.162763103348,36.283523,-119.387024,,Mauritius,729.42,17095148.316161007,-10.337082,56.58791700000012,Northmost point 1
Yosemite Lakes,6349.1185918591855,4637690.3427532725,542,Johann Sebastian Bach,12996.59,13653.36973087301,37.068371,-119.766476,,Miss Salmo,11990.93,14256.707775231578,37.062884,-119.768753,,Donald Trump,10976.79,26761.793982080588,37.185127828149064,-119.47063543175523,California centroid,Mauritius,751.48,17006845.96058551,-10.337082,56.58791700000012,Northmost point 1
South Lake Tahoe,6358.498503850385,4595763.433224891,538,Finland Taipan,12999.63,1488.3257632974714,38.9449,-119.9759,,pwep,11993.43,4275.278003901958,38.954556,-119.943208,,Radians,10987.88,4436.005013920338,38.956047,-119.942265,,Mbabane House,763.02,16960656.702536654,-25.92115020799997,31.126569748,Northwestmost point
Carson City (Nevada),6360.834147414742,4586388.90416095,538,UltraTech66,12999.89,454.35555707397924,39.167886,-119.76744,,Saranac,11993.84,2627.597964033939,39.187333,-119.770167,,Jaspinko,10987.91,4296.31526546873,39.1252,-119.7696,,Mbabane House,769.58,16934377.22916424,-25.92115020799997,31.126569748,Northwestmost point
Burns (Oregon),6385.778899889989,4486584.149116151,536,OceanMan,12997.28,10871.17414782248,43.512002,-119.141841,,Donald Trump (without dependencies),11982.73,47086.39550048722,43.213215828701934,-119.32989716666663,"43.213216, -119.329897",gurf,10976.13,51454.6795218439,43.53885,-119.68934,,Mbabane House,831.52,16686450.69332032,-25.92115020799997,31.126569748,Northwestmost point
Hermiston,6401.161617161716,4425006.759341027,533,Donald Trump,12999.04,3856.248090990024,45.86064350833726,-119.32989716666663,"45.860644, -119.329897",iniki,11992.9,6389.968777633717,45.7877,-119.322304,,brbw,10986.51,9899.126495709266,45.925742,-119.325912,,Mbabane House,857.01,16584431.979340179,-25.92115020799997,31.126569748,Northwestmost point
Tri-Cities,6404.073553355335,4413349.43362985,531,rhoticity,12998.83,4691.6999014087405,46.211788,-119.159301,,MKA,11992.89,6417.024670773021,46.259344,-119.115185,,Puerto Vallarta,10987.36,6526.909377151034,46.259147,-119.113644,,Lesotho,863.02,16560362.166421516,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Moses Lake,6408.521804180418,4395543.877037185,529,snoopy,12999.88,489.86043553139854,47.126053,-119.280497,,brbw,11993.43,4269.284636120173,47.100801,-119.314473,,Puerto Vallarta,10985.93,12240.22038830686,47.234198,-119.33091,,Lesotho,871.19,16527632.04656132,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Omak,6412.044917491749,4381416.583754919,529,gurf,12998.38,6471.530755340917,48.364998,-119.581255,,Donald Trump (without dependencies),11990.77,14894.685206373819,48.3841428762981,-119.32989716666663,"48.384143, -119.329897",Donald Trump,10974.99,56027.46879712507,48.89764613003494,-119.32989716666663,"48.897646, -119.329897",Lesotho,881.92,16484713.5368025,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Kelowna,6413.42198019802,4375855.678098866,525,Koopa99,12999.74,1031.4568997587817,49.886502,-119.499055,,ikb079,11986.03,33887.480854391935,49.583525,-119.572513,,gurf,10978.96,40142.13150742192,50.22103,-119.28801,,Lesotho,901.13,16407781.49090986,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Lake Country,6413.749900990099,4374542.234068482,525,Koopa99,12997.69,9237.468476444814,50.060427,-119.498047,,gurf,11988.29,24839.330240167474,50.22103,-119.28801,,pianoman,10978.25,42987.517122906575,49.744632,-118.958718,,Lesotho,904.18,16395596.14898735,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Vavenby,6410.6370077007705,4387028.474624592,519,Koopa99,12993.31,26793.506618934494,51.737294,-120.015476,,Canada,11986.29,32852.45283335409,51.5173805657501,-120.1798139141091,"51.517381, -120.179814",rhoticity,10968.53,81894.22817302273,50.875888,-119.389591,,Lesotho,920.69,16329496.207925064,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Valemount,6410.182486248625,4388847.262089003,517,brbw,12998.12,7539.833203896008,52.765861,-119.264331,,maplemanatee,11990.46,16135.98773543695,52.953624,-119.386935,,ymot,10984.33,18623.431457482213,52.99801,-119.302758,,Lesotho,945.39,16230646.189603351,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Grande Cache,6406.973366336633,4401694.0033211885,517,Canada,12991.81,32775.896063316075,53.589055282750095,-119.16386015382176,"53.589055, -119.16386",Bvarium,11972.06,89814.87651444615,53.076152,-119.184855,,Elinnea,10965.37,94553.37154499652,53.034817,-119.228885,,Lesotho,962.55,16161921.372712037,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Beaverlodge,6399.936050605061,4429864.237211533,517,Yelldosh,12990.19,39266.73987371264,55.176915,-118.821266,,Canada,11981.43,52280.23963793008,55.6607299997501,-119.16386015382176,"55.66073, -119.16386",favoritepie,10935.5,214099.7795515535,55.15374,-122.807076,,Lesotho,979.1,16095688.50227273,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Torrance (United States),6333.169449944994,4697131.2356126085,544,lostmyballs,12998.72,5113.046333547293,33.873,-118.308,,Eorlthain,11993.11,5535.653620625297,33.848757,-118.398519,,CHart,10987.51,5919.000810390556,33.86628,-118.39322,,Mauritius,665.38,17351491.62017464,-10.337082,56.58791700000012,Northmost point 1
Los Angeles (United States),6336.59198019802,4683430.446457738,544,steph,12999.96,179.88678320493887,34.053705,-118.242878,,Major Bajor,11994.3,779.3462934981126,34.04759,-118.25002,,Eorlthain,10988.79,789.5865125465374,34.056244,-118.23661,,Mauritius,671.74,17326070.192555014,-10.337082,56.58791700000012,Northmost point 1
Arvin,6339.493388338834,4671815.972750189,543,Redoct878,12997.08,11677.132061046537,35.294738,-118.753949,,Major Bajor,11988.71,23162.906069245564,35.106658,-119.050261,,Miss Salmo,10981.41,30339.466607464776,34.950345,-118.934094,,Mauritius,700.54,17210753.546375066,-10.337082,56.58791700000012,Northmost point 1
East Porterville,6347.279548954895,4653859.979961231,541,Donald Trump,12991.54,11803.251731774777,35.98484655682943,-118.87991768183687,California pole of inaccessibility,Donald Trump (without dependencies),12991.54,11803.251731774777,35.98484655682943,-118.87991768183687,California pole of inaccessibility,trombonian,11985.75,12956.940559520985,36.116778,-118.851557,,Mauritius,723.13,17120327.195965864,-10.337082,56.58791700000012,Northmost point 1
Mammoth Lakes,6355.730550055006,4606818.988801562,542,gurf,12999.37,2527.9340474703645,37.65399,-118.99996,,phosphophyllite,11993.39,4400.974219153922,37.638806,-119.020526,,Loading...,10986.19,11207.07547216636,37.601484,-119.084606,,Mauritius,766.71,16945890.239161383,-10.337082,56.58791700000012,Northmost point 1
Schurz,6364.160484048405,4573098.322809488,541,Donald Trump (without dependencies),12988.93,44317.115370240776,39.07647419062501,-118.32450790896354,"39.076474, -118.324508",Donald Trump,11982.88,46487.2023502369,38.77430405770936,-118.32450790896354,"38.774304, -118.324508",Eisenherz,10973.17,63297.483059201346,39.50834,-118.959225,,Mbabane House,787.15,16864082.689254906,-25.92115020799997,31.126569748,Northwestmost point
Fallon,6366.818085808581,4562459.800911689,540,Eisenherz,12995.98,16078.197828931241,39.50834,-118.959225,,OceanMan,11982.29,48863.07723018784,39.911699,-118.820709,,stupiddrew9,10976.08,51678.21549339228,39.365705,-119.362566,,Mbabane House,792.51,16842599.80282788,-25.92115020799997,31.126569748,Northwestmost point
Lovelock,6371.155225522552,4545098.136234106,538,Saranac,12999.96,173.0425950583833,40.179611,-118.471472,,Donald Trump (without dependencies),11990.8,14787.766422215012,40.110659600144245,-118.32450790896354,"40.11066, -118.324508",sheepie,10982.99,24020.440668476665,40.35542,-118.309454,,Mbabane House,805.21,16791755.153464112,-25.92115020799997,31.126569748,Northwestmost point
John Day,6392.339966996699,4460295.696184652,536,gurf,12993.88,24506.09182673877,44.31008,-118.68267,,Donald Trump (without dependencies),11981.16,53389.21510267619,44.24740123822117,-118.32450790896354,"44.247401, -118.324508",Donald Trump,10974.85,56571.05735365426,44.848309301104706,-119.32989716666663,"44.848309, -119.329897",Mbabane House,843.75,16637486.398522884,-25.92115020799997,31.126569748,Northwestmost point
Pendleton (Oregon),6404.30201320132,4421146.053270711,532,Puerto Vallarta,12999.9,416.74818678414266,45.673329,-118.783548,,JHK,11994.08,1653.862333822361,45.670607,-118.809782,,De Martian,10974.41,14256.921816526321,45.79422,-118.84443,,Mbabane House,863.14,16559875.967702635,-25.92115020799997,31.126569748,Northwestmost point
Walla Walla (United States),6406.372519251925,4404122.0610432625,531,Puerto Vallarta,12999.98,81.53023471077373,46.064815,-118.344021,,gurf,11994.47,95.90524035092716,46.06489,-118.34418,,Donald Trump,10983.31,22721.80218889085,45.86064350833726,-118.32450790896354,"45.860644, -118.324508",Mbabane House,875.98,16508494.294238709,-25.92115020799997,31.126569748,Northwestmost point
Davenport (Washington),6415.005676567656,4369564.914621326,529,Donald Trump,12992.8,28834.328602130885,47.88531192280237,-118.32450790896354,"47.885312, -118.324508",stathx,11986.7,31199.557925811998,47.906139,-118.333313,,Donald Trump (without dependencies),10979.93,36266.4702842591,47.34995746677887,-118.32450790896354,"47.349957, -118.324508",Lesotho,896.45,16426536.599403137,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Kettle Falls,6418.135478547855,4357035.844432976,529,Puerto Vallarta,12996.81,12754.885031246495,48.713564,-118.132797,,Donald Trump (without dependencies),11986.49,32043.968627491726,48.3841428762981,-118.32450790896354,"48.384143, -118.324508",Cascadia,10980.55,33764.01338596501,48.60103,-118.514798,,Lesotho,908.78,16377161.603092015,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Grand Forks (Canada),6417.288261826183,4360427.890581518,528,Donald Trump,12995.73,17105.35941954712,48.89764613003494,-118.32450790896354,"48.897646, -118.324508",Puerto Vallarta,11984.03,41866.26591125648,48.713564,-118.132797,,Savanna,10976.91,48326.32950940223,48.646731,-118.738,,Lesotho,907.44,16382527.465671007,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Revelstoke,6418.981760176018,4353623.484973427,525,Tat & Ptar,12998.57,5724.341416462806,51.039214,-118.148189,,Eisenherz,11992.55,7772.377568104001,51.01438,-118.087656,,Canada,10974.64,57426.44489065557,50.4815432072501,-118.14790639353438,"50.481543, -118.147906",Lesotho,935.8,16269006.37495918,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Big Eddy,6418.872112211221,4354062.656906186,525,Tat & Ptar,12998.38,6477.498216811722,51.039214,-118.148189,,Eisenherz,11992.2,9167.170923505282,51.01438,-118.087656,,Canada,10974.57,57728.73766235195,51.5173805657501,-118.14790639353438,"51.517381, -118.147906",Lesotho,935.51,16270177.86733444,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Jasper Park Lodge,6415.9933443344335,4365562.217735369,520,maplemanatee,12999.94,236.00668584499036,52.884396,-118.054801,,Dr.Clive,11994.01,1920.1887866805882,52.877566,-118.080907,,mlc,10988.49,1971.8213678177792,52.87583,-118.07993,,Lesotho,963.36,16158691.588216668,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Grande Prairie,6403.136424642465,4417027.980750835,517,Yelldosh,12999.59,1639.0239487193376,55.176915,-118.821266,,Canada,11979.63,59478.440702321626,55.6607299997501,-119.16386015382176,"55.66073, -119.16386",Tat & Ptar,10935.75,213116.96087018162,53.385642,-117.589714,,Lesotho,986.62,16065602.03055621,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Chateh,6388.563069306931,4475389.791124578,518,Canada,12992.47,30134.280154016713,58.7682420752501,-119.16386015382176,"58.768242, -119.16386",Jedabilbert,11923.76,283151.52242771635,60.001923,-122.935321,,Yelldosh,10891.89,388668.21565738047,55.176915,-118.821266,,Lesotho,1045.1,15831468.611175057,-28.69372940099987,28.183990478000055,Leribe northmost point
Tijuana,6325.997711771177,4725863.839719884,548,oracle-of-naivete,12999.14,3453.862803660407,32.529095,-117.023128,,georoulette,11993.6,3587.7947604636342,32.5303,-117.02353,,Pete,10987.78,4845.841697452132,32.53939,-117.0316,,Mauritius,637.21,17464266.836393498,-10.337082,56.58791700000012,Northmost point 1
Anaheim,6336.515885588559,4683735.368361988,544,MrGlobetrotter,12999.89,456.55171995092365,33.831696,-117.91211,,maclang23,11994.37,511.2166345207145,33.831114,-117.912185,,Finland Taipan,10988.45,2152.7044518716375,33.85289,-117.90479,,Mauritius,667.56,17342782.380367663,-10.337082,56.58791700000012,Northmost point 1
Rancho Cucamonga,6340.983377337734,4665851.897829681,544,Redoct878,12998.85,4596.330394121072,34.066529,-117.606279,,ceilingfanenvy,11991.95,10193.170120147288,34.103691,-117.703772,,FireballN,10986.26,10900.559895191549,34.099762,-117.711229,,Mauritius,676.63,17306479.25582139,-10.337082,56.58791700000012,Northmost point 1
Ridgecrest (California),6350.615676567657,4627293.700551905,544,Loading...,12993.39,26466.29560950663,35.404753,-117.789094,,Aiden,11986.43,32283.161435311977,35.860119,-117.876357,,Donald Trump,10980.43,34243.75237587919,35.73730143601168,-117.31911865126045,"35.737301, -117.319119",Mauritius,717.16,17144231.863616787,-10.337082,56.58791700000012,Northmost point 1
Goldfield (Nevada),6365.7972937293725,4566545.48679165,541,Donald Trump,12997.64,9444.554671448446,37.761969850476795,-117.31911865126045,"37.76197, -117.319119",proletariat_gang,11986.92,30308.84907105359,37.547638,-117.513432,,Arctic Tern,10975.53,53883.519342085994,38.134205,-117.529207,,Mauritius,775.8,16909497.456677604,-10.337082,56.58791700000012,Northmost point 1
Tonopah,6367.59203520352,4559360.649716636,541,Arctic Tern,12993.2,27215.293170839857,38.134205,-117.529207,,Donald Trump,11985.79,34822.900259454545,37.761969850476795,-117.31911865126045,"37.76197, -117.319119",Donald Trump (without dependencies),10976.11,51555.92592078794,38.50119400050011,-117.02234268249993,Nevada centre of extremes,Mauritius,785.53,16870531.794939395,-10.337082,56.58791700000012,Northmost point 1
Winnemucca,6378.49204620462,4515752.917950908,539,fladnag,12999.87,512.0798447107547,40.96928,-117.732013,,chupoxag,11994.22,1080.1985159895844,40.965275,-117.74355,,CHart,10988.53,1831.062014732392,40.95875,-117.7467,,Mbabane House,827.47,16702647.548884219,-25.92115020799997,31.126569748,Northwestmost point
Vale (United States),6398.301694169417,4436429.9203572,536,OceanMan,12999.94,245.75627381577578,43.981837,-117.241278,,Donald Trump,11990.12,17493.843692340768,43.83597509387215,-117.31911865126045,"43.835975, -117.319119",brbw,10983.01,23927.34906483705,44.005596,-116.940907,,Mbabane House,869.12,16535943.236126803,-25.92115020799997,31.126569748,Northwestmost point
Baker City,6400.283938393839,4428494.449426671,535,stathx,12999.95,200.96259987002782,44.776519,-117.833338,,Tumnus,11994.4,383.4416372399355,44.777197,-117.830795,,gurf,10988.88,437.3703804155216,44.77727,-117.82999,,Mbabane House,867.99,16540455.799177906,-25.92115020799997,31.126569748,Northwestmost point
Joseph,6406.696754675468,4402824.817912109,534,gurf,12998.83,4686.783589743522,45.39642,-117.23251,,Puerto Vallarta,11992.15,9389.233683840868,45.431344,-117.278884,,Donald Trump (without dependencies),10986.31,10695.297799034925,45.281586647740404,-117.31911865126045,"45.281587, -117.319119",Mbabane House,885.82,16469088.69342786,-25.92115020799997,31.126569748,Northwestmost point
Pullman,6414.619746974698,4371108.519171443,531,riblet,12999.74,1030.3027943434906,46.726499,-117.168032,,MKA,11994.22,1084.701197204832,46.72608,-117.16757,,Puerto Vallarta,10986.9,8361.81865042217,46.799261,-117.132717,,Lesotho,903.85,16396929.78376548,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Spokane,6418.070341034104,4357296.278216558,529,Puerto Vallarta,12999.87,513.0780409361998,47.66427,-117.428787,,urbanindy,11994.36,541.2961022313382,47.659331,-117.421869,,OKobern,10988.81,725.4065055159903,47.664423,-117.422461,,Lesotho,908.95,16376516.458767714,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Colville (United States),6418.6110781078105,4355131.626030471,529,Puerto Vallarta,12993.76,24974.693181616043,48.713564,-118.132797,,Donald Trump (without dependencies),11985.55,35783.07713817167,48.3841428762981,-118.32450790896354,"48.384143, -118.324508",Cascadia,10977.69,45231.80583807362,48.60103,-118.514798,,Lesotho,910.57,16370027.359187772,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Castlegar,6422.1097139713975,4345506.709195503,528,urbanindy,12992.25,31004.932296973016,49.195206,-117.278716,,Canada,11985.01,37968.70104665241,49.44570584875011,-118.14790639353438,"49.445706, -118.147906",Donald Trump,10968.95,58171.43164741572,48.99980545000022,-117.02942657499996,Washington northeastmost point,Lesotho,923.65,16317666.529859846,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Nakusp,6421.087876787678,4345168.6977281,526,Canada,12991.12,35562.327741373294,50.4815432072501,-118.14790639353438,"50.481543, -118.147906",urbanindy,11973.11,85595.02469622709,49.735711,-116.911127,,Eisenherz,10967.16,87360.10231767569,51.01438,-118.087656,,Lesotho,932.49,16282273.974545667,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Valleyview,6410.252486248625,4388542.8408779865,517,Canada,12987.48,50108.319779168865,54.6248926412501,-117.13195263324704,"54.624893, -117.131953",Yelldosh,11969.91,98393.1173579519,55.176915,-118.821266,,Tat & Ptar,10942.03,187968.62287719882,53.385642,-117.589714,,Lesotho,1005.36,15990586.488845741,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Peace River,6404.636677667767,4411022.874624262,518,Canada,12987.0,52019.436580247966,56.69656735825011,-117.13195263324704,"56.696567, -117.131953",Yelldosh,11956.54,151916.15735258997,55.176915,-118.821266,,Tat & Ptar,10909.63,317646.6869482144,53.385642,-117.589714,,Lesotho,1022.75,15920947.50009788,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Paddle Prairie,6396.161551155115,4444973.221855457,518,Canada,12992.0,32022.73891135571,57.732404716750096,-117.13195263324704,"57.732405, -117.131953",Yelldosh,11914.8,319018.74283821654,55.176915,-118.821266,,Jedabilbert,10892.42,386558.75833636685,60.001923,-122.935321,,Lesotho,1047.1,15823482.969428098,-28.897129057999965,27.754289628000034,Leribe northwestmost point
High Level,6394.952860286028,4449811.623866932,519,Canada,12993.02,27951.19302394053,58.7682420752501,-117.13195263324704,"58.768242, -117.131953",Yelldosh,11902.83,366914.72023246903,57.032528,-111.606639,,Jedabilbert,10896.93,368494.6504862693,60.001923,-122.935321,,Lesotho,1060.39,15770300.19736663,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Fort Providence,6380.073641364136,4509348.345558756,522,Canada,12984.34,62677.44923908578,60.839916792250094,-118.14790639353438,"60.839917, -118.147906",oops,11942.5,208119.2964042735,62.473294,-114.471726,,Norton,10936.68,209381.00840329335,62.470139,-114.436836,,Lesotho,1102.9,15600115.613579966,-28.69372940099987,28.183990478000055,Leribe northmost point
Gamèti,6367.945698569857,4557897.055123046,522,Canada,12994.7,21234.044409794784,63.9474288677501,-117.13195263324704,"63.947429, -117.131953",oops,11936.49,232198.40562094594,62.473294,-114.471726,,Norton,10930.64,233561.32070786264,62.470139,-114.436836,,Lesotho,1155.72,15388665.492091786,-28.69372940099987,28.183990478000055,Leribe northmost point
Camalú,6303.540429042904,4815784.780217678,549,México,12989.06,43798.32500413834,31.114194969823536,-115.72850620741664,"31.114195, -115.728506",ghostlyturtle77,11970.77,94967.41097934252,31.634608,-116.438848,,CHart,10957.94,124282.33930880038,31.85296,-116.62429,,Mauritius,600.35,17611829.23481602,-10.337082,56.58791700000012,Northmost point 1
Rodolfo Sánchez Taboada,6315.548855885589,4767691.323760756,548,CHart,12996.18,15280.193727711177,31.85296,-116.62429,,Camphost,11990.65,15376.89190981415,31.853662,-116.625035,,EJ'sEmpire,10985.01,15911.468915611917,31.858919,-116.62439,,Mauritius,619.52,17535106.125855062,-10.337082,56.58791700000012,Northmost point 1
El Cajon,6330.438591859186,4708086.868219585,548,Lumin,12998.72,5111.65357292277,32.77049,-117.00896,,potato7268,11991.27,12910.42457922376,32.75618,-117.09277,,DjinN,10985.2,15157.432248821244,32.78491,-117.124256,,Mauritius,645.27,17432014.94295924,-10.337082,56.58791700000012,Northmost point 1
Indio,6344.579812981298,4651502.893406771,548,De Martian,12999.12,3517.4764912329483,33.708149,-116.181862,,Donald Trump,11992.24,9012.63290269055,33.712633021546566,-116.31372939355737,"33.712633, -116.313729",chthris,10983.91,20324.57250561812,33.882798,-116.318414,,Mauritius,674.91,17313376.411823157,-10.337082,56.58791700000012,Northmost point 1
Twentynine Palms,6349.410847084709,4632141.46674812,546,Norton,12999.59,1643.256067685866,34.128803,-116.038292,,calllahan,11993.56,3716.3597150535757,34.168912,-116.056783,,Loading...,10986.43,10250.996572741127,34.135918,-115.942792,,Mauritius,687.02,17264870.19192865,-10.337082,56.58791700000012,Northmost point 1
Fort Irwin,6355.343696369637,4608391.417326313,544,malfunctionn,12989.97,40136.697412910595,34.9131,-116.7943,,bam,11984.08,41676.0632058424,34.904968,-116.821205,,OceanMan,10977.23,47062.618708558584,34.908406,-116.967614,,Mauritius,712.97,17161018.906976707,-10.337082,56.58791700000012,Northmost point 1
Death Valley,6361.3699779978,4584267.863316373,543,GeoGamr🇺🇦,12999.16,3376.321240586011,36.230922,-116.775263,,user1115,11993.61,3531.5447064275604,36.23081,-116.7735,,gurf,10987.97,4050.5866026374083,36.229901,-116.767805,,Mauritius,738.43,17059074.331110604,-10.337082,56.58791700000012,Northmost point 1
Battle Mountain,6381.57603960396,4503407.460434685,541,Aiden,12992.78,28897.565777025044,40.827514,-117.174631,,De Martian,11986.27,32917.27927581375,40.853052,-117.208453,,Donald Trump,10979.79,36824.61246950123,40.79897247217447,-117.31911865126045,"40.798972, -117.319119",Mbabane House,840.19,16651725.589813627,-25.92115020799997,31.126569748,Northwestmost point
Owyhee,6393.3760726072605,4456171.824676679,539,Donald Trump,12994.16,23384.621691261345,41.811306679407025,-116.31372939355737,"41.811307, -116.313729",gurf,11987.05,29813.114529171486,41.7263,-115.8957,,Donald Trump (without dependencies),10981.18,31254.48969680039,42.17903041918271,-116.31372939355737,"42.17903, -116.313729",Mbabane House,868.87,16536954.977807844,-25.92115020799997,31.126569748,Northwestmost point
Boise,6402.177634763476,4420938.569015122,535,chupoxag,12999.99,33.0520335430813,43.61334,-116.203796,,CakeSister,11994.48,35.72991859723899,43.61339,-116.203867,,Norton,10988.97,52.84869045697963,43.613187,-116.203944,,Mbabane House,883.96,16476549.534741515,-25.92115020799997,31.126569748,Northwestmost point
Ontario (Oregon),6400.128272827283,4429119.029461599,535,Cascadia,12999.6,1587.750657959799,44.026535,-116.943081,,brbw,11993.76,2921.1302602810256,44.005596,-116.940907,,OceanMan,10983.29,22810.258665663427,43.981837,-117.241278,,Mbabane House,874.63,16513866.17510722,-25.92115020799997,31.126569748,Northwestmost point
Grangeville,6415.206512651265,4368735.911692739,534,gurf,12999.99,38.20904754907253,45.92623,-116.12255,,OceanMan,11992.8,6789.763867106626,45.952792,-116.043086,,Puerto Vallarta,10980.36,34523.96608243521,46.231261,-116.036476,,Mbabane House,912.15,16363675.309702333,-25.92115020799997,31.126569748,Northwestmost point
Lewiston Orchards,6413.647953795379,4374975.278724876,532,jogwi,12998.82,4725.390523670574,46.35711,-116.923953,,mobambachloride,11992.82,6679.648611637297,46.366299,-117.060049,,gurf,10986.64,9407.16457611547,46.4602,-117.016347,,Mbabane House,903.26,16399274.295717357,-25.92115020799997,31.126569748,Northwestmost point
Coeur d'Alene,6420.832860286028,4346237.835611395,530,gurf,12999.85,598.356532953824,47.67345,-116.77553,,TheScooterBuskie,11994.31,738.9219860494553,47.67328,-116.787866,,brbw,10988.09,3587.72273798314,47.696751,-116.819131,,Lesotho,920.38,16330741.123357972,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Sandpoint,6423.9851925192515,4333618.777937613,529,urbanindy,12999.82,731.3442643518007,48.270886,-116.54833,,pwep,11994.25,960.9353564896303,48.273967,-116.540878,,gurf,10988.74,973.4851742193671,48.27296,-116.54128,,Lesotho,930.52,16290143.727183009,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Kaslo,6425.004092409241,4329491.275556662,528,urbanindy,12994.97,20119.383344425467,49.735711,-116.911127,,Canada,11980.86,54557.05230425662,49.44570584875011,-117.13195263324704,"49.445706, -117.131953",Mɪɴ̌ᴀ,10973.74,61036.323387857316,50.351284,-116.395975,,Lesotho,942.67,16241527.576429255,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Invermere,6429.463905390539,4311639.59235771,528,Canada,12998.27,6911.028635947678,50.4815432072501,-116.1159988729597,"50.481543, -116.115999",javi (big beef cow #2 fan),11991.81,10761.64764299872,50.611524,-116.065561,,Mɪɴ̌ᴀ,10981.12,31471.326068273967,50.351284,-116.395975,,Lesotho,963.92,16156463.165963547,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Lake Louise,6428.44693069307,4315710.434011722,526,potato,13000.0,2.849047947629923,51.425465,-116.178861,,favoritepie,11994.48,34.20866822144552,51.425139,-116.178972,,Loading...,10988.32,2665.717958155267,51.417776,-116.215297,,Lesotho,972.47,16122229.917537984,-28.897129057999965,27.754289628000034,Leribe northwestmost point
Edson,6420.370352035204,4348040.7450241605,523,Canada,12994.73,21104.325081415805,53.589055282750095,-116.1159988729597,"53.589055, -116.115999",Tat & Ptar,11974.64,79466.61170241742,53.385642,-117.589714,,ymot,10963.54,101871.72345598161,53.130459,-117.769899,,Lesotho,996.35,16026621.47692822,-28.897129057999965,27.754289628000034,Leribe northwestmost point
